char	codepoint_file	friendly_file
'a'	character-U0061.svg	character-a.svg
'b'	character-U0062.svg	character-b.svg
'C'	character-U0043.svg	character-C.svg
'd'	character-U0064.svg	character-d.svg
'e'	character-U0065.svg	character-e.svg
'f'	character-U0066.svg	character-f.svg
'g'	character-U0067.svg	character-g.svg
'h'	character-U0068.svg	character-h.svg
'I'	character-U0049.svg	character-I.svg
'J'	character-U004A.svg	character-J.svg
'k'	character-U006B.svg	character-k.svg
'l'	character-U006C.svg	character-l.svg
'm'	character-U006D.svg	character-m.svg
'n'	character-U006E.svg	character-n.svg
'o'	character-U006F.svg	character-o.svg
'p'	character-U0070.svg	character-p.svg
'q'	character-U0071.svg	character-q.svg
'r'	character-U0072.svg	character-r.svg
'S'	character-U0053.svg	character-S.svg
't'	character-U0074.svg	character-t.svg
'u'	character-U0075.svg	character-u.svg
'v'	character-U0076.svg	character-v.svg
'w'	character-U0077.svg	character-w.svg
'x'	character-U0078.svg	character-x.svg
'y'	character-U0079.svg	character-y.svg
'z'	character-U007A.svg	character-z.svg
'4'	character-U0034.svg	character-4.svg
'2'	character-U0032.svg	character-2.svg
','	character-U002C.svg	character-comma.svg
'.'	character-U002E.svg	character-period.svg
'?'	character-U003F.svg	character-question.svg
